date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-08-03,PB,,state,84211,1870,True,4018127,25,2095.77746,0.0222
2020-08-02,PB,Água Branca,city,49,2,True,10234,2500106,478.79617,0.0408
2020-08-02,PB,Aguiar,city,23,0,True,5640,2500205,407.80142,0.0
2020-08-02,PB,Alagoa Grande,city,783,17,True,28496,2500304,2747.75407,0.0217
2020-08-02,PB,Alagoa Nova,city,245,6,True,20849,2500403,1175.11631,0.0245
2020-08-02,PB,Alagoinha,city,768,7,True,14489,2500502,5300.57285,0.0091
2020-08-02,PB,Alcantil,city,39,0,True,5492,2500536,710.12382,0.0
2020-08-02,PB,Algodão de Jandaíra,city,5,0,True,2567,2500577,194.7799,0.0
2020-08-02,PB,Alhandra,city,579,16,True,19588,2500601,2955.89136,0.0276
2020-08-02,PB,Amparo,city,17,0,True,2238,2500734,759.60679,0.0
2020-08-02,PB,Aparecida,city,62,1,True,8347,2500775,742.78184,0.0161
2020-08-02,PB,Araçagi,city,464,4,True,16987,2500809,2731.50056,0.0086
2020-08-02,PB,Arara,city,179,3,True,13470,2500908,1328.87899,0.0168
2020-08-02,PB,Araruna,city,222,6,True,20312,2501005,1092.94998,0.027
2020-08-02,PB,Areia,city,339,2,True,22819,2501104,1485.6041,0.0059
2020-08-02,PB,Areia de Baraúnas,city,10,0,True,2128,2501153,469.92481,0.0
2020-08-02,PB,Areial,city,42,2,True,6998,2501203,600.17148,0.0476
2020-08-02,PB,Aroeiras,city,180,0,True,19153,2501302,939.80055,0.0
2020-08-02,PB,Assunção,city,44,0,True,3990,2501351,1102.75689,0.0
2020-08-02,PB,Baía da Traição,city,480,5,True,8993,2501401,5337.48471,0.0104
2020-08-02,PB,Bananeiras,city,164,2,True,21318,2501500,769.30294,0.0122
2020-08-02,PB,Baraúna,city,129,0,True,4892,2501534,2636.9583,0.0
2020-08-02,PB,Barra de Santana,city,82,2,True,8359,2501575,980.97859,0.0244
2020-08-02,PB,Barra de Santa Rosa,city,48,1,True,15384,2501609,312.01248,0.0208
2020-08-02,PB,Barra de São Miguel,city,40,1,True,6036,2501708,662.69052,0.025
2020-08-02,PB,Bayeux,city,1366,81,True,96880,2501807,1409.99174,0.0593
2020-08-02,PB,Belém,city,792,9,True,17676,2501906,4480.65173,0.0114
2020-08-02,PB,Belém do Brejo do Cruz,city,27,1,True,7342,2502003,367.74721,0.037
2020-08-02,PB,Bernardino Batista,city,6,0,True,3501,2502052,171.37961,0.0
2020-08-02,PB,Boa Ventura,city,4,0,True,5366,2502102,74.54342,0.0
2020-08-02,PB,Boa Vista,city,74,1,True,7051,2502151,1049.49653,0.0135
2020-08-02,PB,Bom Jesus,city,9,0,True,2561,2502201,351.42522,0.0
2020-08-02,PB,Bom Sucesso,city,17,0,True,4975,2502300,341.70854,0.0
2020-08-02,PB,Bonito de Santa Fé,city,15,1,True,11917,2502409,125.87061,0.0667
2020-08-02,PB,Boqueirão,city,300,5,True,17804,2502508,1685.0146,0.0167
2020-08-02,PB,Borborema,city,14,0,True,5263,2502706,266.00798,0.0
2020-08-02,PB,Brejo do Cruz,city,268,4,True,14122,2502805,1897.74819,0.0149
2020-08-02,PB,Brejo dos Santos,city,20,0,True,6449,2502904,310.1256,0.0
2020-08-02,PB,Caaporã,city,897,12,True,21828,2503001,4109.40077,0.0134
2020-08-02,PB,Cabaceiras,city,55,0,True,5611,2503100,980.21743,0.0
2020-08-02,PB,Cabedelo,city,2409,44,True,67736,2503209,3556.45447,0.0183
2020-08-02,PB,Cachoeira dos Índios,city,88,5,True,10244,2503308,859.03944,0.0568
2020-08-02,PB,Cacimba de Areia,city,8,0,True,3682,2503407,217.27322,0.0
2020-08-02,PB,Cacimba de Dentro,city,190,2,True,17187,2503506,1105.48671,0.0105
2020-08-02,PB,Cacimbas,city,42,1,True,7173,2503555,585.52907,0.0238
2020-08-02,PB,Caiçara,city,378,4,True,7201,2503605,5249.27093,0.0106
2020-08-02,PB,Cajazeiras,city,1263,30,True,61993,2503704,2037.32679,0.0238
2020-08-02,PB,Cajazeirinhas,city,19,0,True,3193,2503753,595.05168,0.0
2020-08-02,PB,Caldas Brandão,city,165,2,True,6014,2503803,2743.59827,0.0121
2020-08-02,PB,Camalaú,city,1,0,True,6013,2503902,16.63063,0.0
2020-08-02,PB,Campina Grande,city,10747,230,True,409731,2504009,2622.94042,0.0214
2020-08-02,PB,Capim,city,142,4,True,6523,2504033,2176.91246,0.0282
2020-08-02,PB,Caraúbas,city,35,0,True,4162,2504074,840.94185,0.0
2020-08-02,PB,Carrapateira,city,38,0,True,2659,2504108,1429.10869,0.0
2020-08-02,PB,Casserengue,city,211,4,True,7468,2504157,2825.38832,0.019
2020-08-02,PB,Catingueira,city,17,2,True,4932,2504207,344.68775,0.1176
2020-08-02,PB,Catolé do Rocha,city,254,11,True,30546,2504306,831.53277,0.0433
2020-08-02,PB,Caturité,city,91,1,True,4852,2504355,1875.51525,0.011
2020-08-02,PB,Conceição,city,364,5,True,18982,2504405,1917.60615,0.0137
2020-08-02,PB,Condado,city,112,3,True,6654,2504504,1683.19808,0.0268
2020-08-02,PB,Conde,city,654,10,True,24670,2504603,2650.99311,0.0153
2020-08-02,PB,Congo,city,67,1,True,4786,2504702,1399.91642,0.0149
2020-08-02,PB,Coremas,city,121,2,True,15445,2504801,783.42506,0.0165
2020-08-02,PB,Coxixola,city,20,0,True,1921,2504850,1041.12441,0.0
2020-08-02,PB,Cruz do Espírito Santo,city,264,16,True,17319,2504900,1524.33743,0.0606
2020-08-02,PB,Cubati,city,70,1,True,7797,2505006,897.7812,0.0143
2020-08-02,PB,Cuité,city,154,1,True,20338,2505105,757.20326,0.0065
2020-08-02,PB,Cuité de Mamanguape,city,101,6,True,6353,2505238,1589.80009,0.0594
2020-08-02,PB,Cuitegi,city,332,8,True,6803,2505204,4880.19991,0.0241
2020-08-02,PB,Curral de Cima,city,24,0,True,5227,2505279,459.15439,0.0
2020-08-02,PB,Curral Velho,city,1,0,True,2516,2505303,39.74563,0.0
2020-08-02,PB,Damião,city,17,1,True,5330,2505352,318.94934,0.0588
2020-08-02,PB,Desterro,city,50,1,True,8297,2505402,602.62746,0.02
2020-08-02,PB,Diamante,city,67,0,True,6552,2505600,1022.58852,0.0
2020-08-02,PB,Dona Inês,city,83,2,True,10453,2505709,794.03042,0.0241
2020-08-02,PB,Duas Estradas,city,65,1,True,3596,2505808,1807.56396,0.0154
2020-08-02,PB,Emas,city,41,3,True,3522,2505907,1164.1113,0.0732
2020-08-02,PB,Esperança,city,407,5,True,33007,2506004,1233.07177,0.0123
2020-08-02,PB,Fagundes,city,81,4,True,11253,2506103,719.80805,0.0494
2020-08-02,PB,Frei Martinho,city,6,0,True,2989,2506202,200.73603,0.0
2020-08-02,PB,Gado Bravo,city,95,2,True,8316,2506251,1142.37614,0.0211
2020-08-02,PB,Guarabira,city,3438,42,True,58833,2506301,5843.65917,0.0122
2020-08-02,PB,Gurinhém,city,400,5,True,14129,2506400,2831.05669,0.0125
2020-08-02,PB,Gurjão,city,20,1,True,3428,2506509,583.43057,0.05
2020-08-02,PB,Ibiara,city,38,0,True,5929,2506608,640.91752,0.0
2020-08-02,PB,Igaracy,city,8,0,True,6117,2502607,130.78306,0.0
2020-08-02,PB,Imaculada,city,39,0,True,11819,2506707,329.97716,0.0
2020-08-02,PB,Importados/Indefinidos,city,0,0,True,,,,0.0
2020-08-02,PB,Ingá,city,996,8,True,18103,2506806,5501.85052,0.008
2020-08-02,PB,Itabaiana,city,985,17,True,24477,2506905,4024.18597,0.0173
2020-08-02,PB,Itaporanga,city,150,1,True,24692,2507002,607.48421,0.0067
2020-08-02,PB,Itapororoca,city,605,4,True,18664,2507101,3241.5345,0.0066
2020-08-02,PB,Itatuba,city,285,1,True,10962,2507200,2599.89053,0.0035
2020-08-02,PB,Jacaraú,city,263,2,True,14431,2507309,1822.46553,0.0076
2020-08-02,PB,Jericó,city,10,1,True,7739,2507408,129.21566,0.1
2020-08-02,PB,João Pessoa,city,21863,649,True,809015,2507507,2702.42208,0.0297
2020-08-02,PB,Joca Claudino,city,4,0,True,2636,2513653,151.74507,0.0
2020-08-02,PB,Juarez Távora,city,262,1,True,7936,2507606,3301.41129,0.0038
2020-08-02,PB,Juazeirinho,city,153,0,True,18171,2507705,842.00099,0.0
2020-08-02,PB,Junco do Seridó,city,38,1,True,7150,2507804,531.46853,0.0263
2020-08-02,PB,Juripiranga,city,436,7,True,10756,2507903,4053.55151,0.0161
2020-08-02,PB,Juru,city,68,0,True,9867,2508000,689.16591,0.0
2020-08-02,PB,Lagoa,city,6,0,True,4666,2508109,128.5898,0.0
2020-08-02,PB,Lagoa de Dentro,city,112,0,True,7719,2508208,1450.96515,0.0
2020-08-02,PB,Lagoa Seca,city,615,12,True,27503,2508307,2236.1197,0.0195
2020-08-02,PB,Lastro,city,16,0,True,2737,2508406,584.58166,0.0
2020-08-02,PB,Livramento,city,78,0,True,7256,2508505,1074.97244,0.0
2020-08-02,PB,Logradouro,city,123,2,True,4332,2508554,2839.33518,0.0163
2020-08-02,PB,Lucena,city,337,3,True,13080,2508604,2576.4526,0.0089
2020-08-02,PB,Mãe d'Água,city,18,0,True,4009,2508703,448.98977,0.0
2020-08-02,PB,Malta,city,83,1,True,5759,2508802,1441.22243,0.012
2020-08-02,PB,Mamanguape,city,2060,33,True,44882,2508901,4589.81329,0.016
2020-08-02,PB,Manaíra,city,10,1,True,10955,2509008,91.28252,0.1
2020-08-02,PB,Marcação,city,252,2,True,8558,2509057,2944.61323,0.0079
2020-08-02,PB,Mari,city,992,15,True,21837,2509107,4542.74855,0.0151
2020-08-02,PB,Marizópolis,city,24,1,True,6617,2509156,362.70213,0.0417
2020-08-02,PB,Massaranduba,city,303,4,True,13918,2509206,2177.03693,0.0132
2020-08-02,PB,Mataraca,city,150,4,True,8434,2509305,1778.51553,0.0267
2020-08-02,PB,Matinhas,city,70,1,True,4500,2509339,1555.55556,0.0143
2020-08-02,PB,Mato Grosso,city,14,1,True,2908,2509370,481.43054,0.0714
2020-08-02,PB,Maturéia,city,29,1,True,6569,2509396,441.4675,0.0345
2020-08-02,PB,Mogeiro,city,141,2,True,13284,2509404,1061.42728,0.0142
2020-08-02,PB,Montadas,city,38,1,True,5669,2509503,670.31222,0.0263
2020-08-02,PB,Monte Horebe,city,13,0,True,4816,2509602,269.93355,0.0
2020-08-02,PB,Monteiro,city,283,2,True,33222,2509701,851.84516,0.0071
2020-08-02,PB,Mulungu,city,302,5,True,9902,2509800,3049.88891,0.0166
2020-08-02,PB,Natuba,city,49,2,True,10454,2509909,468.72011,0.0408
2020-08-02,PB,Nazarezinho,city,32,1,True,7301,2510006,438.29612,0.0312
2020-08-02,PB,Nova Floresta,city,51,0,True,10638,2510105,479.41342,0.0
2020-08-02,PB,Nova Olinda,city,12,0,True,5949,2510204,201.71457,0.0
2020-08-02,PB,Nova Palmeira,city,53,0,True,4906,2510303,1080.30982,0.0
2020-08-02,PB,Olho d'Água,city,37,0,True,6526,2510402,566.96292,0.0
2020-08-02,PB,Olivedos,city,69,1,True,3932,2510501,1754.83215,0.0145
2020-08-02,PB,Ouro Velho,city,0,0,True,3039,2510600,,0.0
2020-08-02,PB,Parari,city,5,0,True,1771,2510659,282.32637,0.0
2020-08-02,PB,Passagem,city,30,0,True,2419,2510709,1240.18189,0.0
2020-08-02,PB,Patos,city,2588,70,True,107605,2510808,2405.0927,0.027
2020-08-02,PB,Paulista,city,141,1,True,12347,2510907,1141.97781,0.0071
2020-08-02,PB,Pedra Branca,city,1,0,True,3801,2511004,26.30887,0.0
2020-08-02,PB,Pedra Lavrada,city,34,0,True,7843,2511103,433.50759,0.0
2020-08-02,PB,Pedras de Fogo,city,1222,22,True,28458,2511202,4294.04737,0.018
2020-08-02,PB,Pedro Régis,city,41,2,True,6089,2512721,673.34538,0.0488
2020-08-02,PB,Piancó,city,136,4,True,16075,2511301,846.03421,0.0294
2020-08-02,PB,Picuí,city,177,2,True,18703,2511400,946.37224,0.0113
2020-08-02,PB,Pilar,city,267,4,True,11917,2511509,2240.49677,0.015
2020-08-02,PB,Pilões,city,89,1,True,6635,2511608,1341.37151,0.0112
2020-08-02,PB,Pilõezinhos,city,228,1,True,4976,2511707,4581.99357,0.0044
2020-08-02,PB,Pirpirituba,city,246,2,True,10579,2511806,2325.36157,0.0081
2020-08-02,PB,Pitimbu,city,574,7,True,19065,2511905,3010.75269,0.0122
2020-08-02,PB,Pocinhos,city,119,1,True,18564,2512002,641.02564,0.0084
2020-08-02,PB,Poço Dantas,city,4,0,True,3888,2512036,102.88066,0.0
2020-08-02,PB,Poço de José de Moura,city,15,0,True,4307,2512077,348.27026,0.0
2020-08-02,PB,Pombal,city,365,2,True,32801,2512101,1112.77095,0.0055
2020-08-02,PB,Prata,city,5,0,True,4209,2512200,118.79306,0.0
2020-08-02,PB,Princesa Isabel,city,63,4,True,23345,2512309,269.86507,0.0635
2020-08-02,PB,Puxinanã,city,249,1,True,13680,2512408,1820.17544,0.004
2020-08-02,PB,Queimadas,city,927,7,True,43967,2512507,2108.39948,0.0076
2020-08-02,PB,Quixaba,city,27,1,True,1956,2512606,1380.3681,0.037
2020-08-02,PB,Remígio,city,224,3,True,19621,2512705,1141.63396,0.0134
2020-08-02,PB,Riachão,city,62,0,True,3588,2512747,1727.98216,0.0
2020-08-02,PB,Riachão do Bacamarte,city,215,0,True,4521,2512754,4755.58505,0.0
2020-08-02,PB,Riachão do Poço,city,84,2,True,4509,2512762,1862.94079,0.0238
2020-08-02,PB,Riacho de Santo Antônio,city,28,0,True,1948,2512788,1437.37166,0.0
2020-08-02,PB,Riacho dos Cavalos,city,11,0,True,8526,2512804,129.01712,0.0
2020-08-02,PB,Rio Tinto,city,944,20,True,24176,2512903,3904.69887,0.0212
2020-08-02,PB,Salgadinho,city,25,0,True,3885,2513000,643.50064,0.0
2020-08-02,PB,Salgado de São Félix,city,206,2,True,12140,2513109,1696.86985,0.0097
2020-08-02,PB,Santa Cecília,city,59,0,True,6558,2513158,899.66453,0.0
