data,categoria,mediana_aumento_percentual,aumento_considerando_populacao
17-12-20,a,0,0
2020-12-17,b,0,0
2020-12-17,c,0,0
2020-12-17,d,0,0
2020-12-17,e,0,0
2021-01-17,a,0.107368,113.569
2021-01-17,b,0.142857,165.877
2021-01-17,c,0.128713,177.411
2021-01-17,d,0.126500,190.813
2021-01-17,e,0.142857,258.725
2021-02-16,a,0.137602,0.140029
2021-02-16,b,0.156363,0.176176
2021-02-16,c,0.144444,0.181939
2021-02-16,d,0.136364,0.189546
2021-02-16,e,0.090909,0.241147
2021-03-16,a,0.159794,0.142200
2021-03-16,b,0.171786,0.204690
2021-03-16,c,0.157895,0.195683
2021-03-16,d,0.166667,0.224332
2021-03-16,e,0.166667,0.190595
