data,categoria,mediana_aumento_percentual,aumento_considerando_populacao
17-12-20,a,0,0
17-12-20,b,0,0
17-12-20,c,0,0
17-12-20,d,0,0
17-12-20,e,0,0
17-01-21,a,0.107368,113.569
17-01-21,b,0.142857,165.877
17-01-21,c,0.128713,177.411
17-01-21,d,0.126500,190.813
17-01-21,e,0.142857,258.725
16-02-21,a,0.137602,0.140029
16-02-21,b,0.156363,0.176176
16-02-21,c,0.144444,0.181939
16-02-21,d,0.136364,0.189546
16-02-21,e,0.090909,0.241147
16-03-21,a,0.159794,0.142200
16-03-21,b,0.171786,0.204690
16-03-21,c,0.157895,0.195683
16-03-21,d,0.166667,0.224332
16-03-21,e,0.166667,0.190595
